date,sku_id,warehouse_id,demand_units,fulfilled_units,stockout_flag,sku_name,category,temp_min_c,temp_max_c,unit_cost,shelf_life_days,warehouse_name,region,day_of_week,month,quarter,week_of_year,day_of_year,year,is_weekend,lag_7,lag_14,lag_28,rolling_7_mean,rolling_14_mean,rolling_28_mean,rolling_7_std,max_severity_score,total_delay_hours,had_weather_event,breach_count,supplier_delay_hrs,had_supplier_delay
2023-01-01,1,1,128,125,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,6,1,1,52,1,2023,1,,,,,,,0.0,0,0.0,0,0,0.0,0
2023-01-02,1,1,207,188,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,0,1,1,1,2,2023,0,,,,128.0,128.0,128.0,0.0,0,0.0,0,0,0.0,0
2023-01-03,1,1,222,203,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,1,1,1,1,3,2023,0,,,,167.5,167.5,167.5,55.86143571373726,3,7.8,1,0,8.3,1
2023-01-04,1,1,186,168,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,2,1,1,1,4,2023,0,,,,185.66666666666666,185.66666666666666,185.66666666666666,50.500825075768155,0,0.0,0,0,0.0,0
2023-01-05,1,1,193,174,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,3,1,1,1,5,2023,0,,,,185.75,185.75,185.75,41.23408784003837,0,0.0,0,0,0.0,0
2023-01-06,1,1,187,178,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,4,1,1,1,6,2023,0,,,,187.2,187.2,187.2,35.85665907471024,0,0.0,0,0,0.0,0
2023-01-07,1,1,129,119,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,5,1,1,1,7,2023,1,,,,187.16666666666666,187.16666666666666,187.16666666666666,32.07127479017114,0,0.0,0,0,0.0,0
2023-01-08,1,1,116,107,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,6,1,1,1,8,2023,1,128.0,,,178.85714285714286,178.85714285714286,178.85714285714286,36.61251412394662,0,0.0,0,0,0.0,0
2023-01-09,1,1,212,206,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,0,1,1,2,9,2023,0,207.0,,,177.14285714285714,171.0,171.0,39.55345990524964,1,1.4,1,0,0.0,0
2023-01-10,1,1,213,208,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,1,1,1,2,10,2023,0,222.0,,,177.85714285714286,175.55555555555554,175.55555555555554,40.22200298107398,0,0.0,0,0,0.0,0
2023-01-11,1,1,203,196,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,2,1,1,2,11,2023,0,186.0,,,176.57142857142858,179.3,179.3,38.69046886446817,0,0.0,0,0,0.0,0
2023-01-12,1,1,193,173,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,3,1,1,2,12,2023,0,193.0,,,179.0,181.45454545454547,181.45454545454547,39.89569734528608,0,0.0,0,0,0.0,0
2023-01-13,1,1,171,153,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,4,1,1,2,13,2023,0,187.0,,,179.0,182.41666666666666,182.41666666666666,39.89569734528608,0,0.0,0,0,0.0,0
2023-01-14,1,1,121,120,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,5,1,1,2,14,2023,1,129.0,,,176.71428571428572,181.53846153846155,181.53846153846155,39.81923440463702,0,0.0,0,0,0.0,0
2023-01-15,1,1,133,120,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,6,1,1,2,15,2023,1,116.0,128.0,,175.57142857142858,177.21428571428572,177.21428571428572,41.4964140734158,0,0.0,0,0,0.0,0
2023-01-16,1,1,202,182,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,0,1,1,3,16,2023,0,212.0,207.0,,178.0,177.57142857142858,174.26666666666668,37.758001359535264,0,0.0,0,0,0.0,0
2023-01-17,1,1,206,198,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,1,1,1,3,17,2023,0,213.0,222.0,,176.57142857142858,177.21428571428572,176.0,36.42278198626579,0,0.0,0,0,0.0,0
2023-01-18,1,1,196,178,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,2,1,1,3,18,2023,0,203.0,186.0,,175.57142857142858,176.07142857142858,177.76470588235293,35.33580404659058,0,0.0,0,0,0.0,0
2023-01-19,1,1,203,199,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,3,1,1,3,19,2023,0,193.0,193.0,,174.57142857142858,176.78571428571428,178.77777777777777,34.519835567671045,0,0.0,0,0,0.0,0
2023-01-20,1,1,173,172,True,Insulin Vials,pharmaceutical,2.0,8.0,45.0,30,Boston Hub,Northeast,4,1,1,3,20,2023,0,171.0,187.0,,176.0,177.5,180.05263157894737,35.599625466194624,0,0.0,0,0,0.0,0
